ID,Mass,Height,Landing Limbs,Trial No,Hip Flexion ROM,Knee Flexion ROM,Ankle Flexion ROM,Hip Flexion at Contact,Knee Flexion at Contact,Ankle Flexion at Contact,RXF,RXF_R,JCF,JCF_R,RXF_FE_FFT,JCF_FE_FFT,RXF_FFT,JCF_FFT,RXF_FE,JCF_FE,RXF_SMR,JCF_SMR,DIS,IMU_FFT
1,75,2.000000000e-01,1,1,1.723848400e+01,5.778681400e+01,5.837679700e+01,3.723833500e+01,-6.320672100e+01,7.626191000e+00,3.114652353e+00,8.838031655e+01,8.559644978e+00,1.377479764e+02,3.450916059e-04,1.134917681e-03,1.259487046e+02,4.142129488e+02,6.278856254e-03,1.725546684e-02,5.549273033e-01,2.376905640e+00,,
1,75,2.000000000e-01,2,1,2.366062700e+01,7.101288500e+01,6.186386100e+01,2.051511200e+01,-4.421289400e+01,-5.068100000e+00,1.892391971e+00,7.054386544e+01,7.554805685e+00,8.741569441e+01,1.846250547e-04,8.149080579e-04,6.738293852e+01,2.974184607e+02,3.814890337e-03,1.522980209e-02,2.691171106e-01,1.331323725e+00,,
1,75,2.000000000e-01,1,2,1.750620000e+01,6.399025300e+01,7.043626000e+01,3.816254100e+01,-5.743952800e+01,-4.379071000e+00,3.959217317e+00,2.412309964e+02,1.073495881e+01,1.258451176e+02,4.115471936e-04,1.402561723e-03,1.502031200e+02,5.118954767e+02,7.981422513e-03,2.164070196e-02,1.925366505e+00,2.723376682e+00,,
1,75,2.000000000e-01,2,2,2.760092900e+01,7.221601200e+01,6.338421100e+01,1.756955900e+01,-4.188224500e+01,-1.174331200e+01,2.764753793e+00,1.825231068e+02,6.691195995e+00,8.110549495e+01,2.496567816e-04,7.491442955e-04,9.111768497e+01,2.734165420e+02,5.573492536e-03,1.348884339e-02,1.017291173e+00,1.094019320e+00,,
1,75,2.000000000e-01,1,3,2.070840300e+01,6.403128200e+01,6.803540100e+01,3.942349700e+01,-6.341605900e+01,-3.330669000e+00,2.320319634e+00,5.110268936e+01,8.926182371e+00,1.350658646e+02,3.091496447e-04,1.551235433e-03,1.128309023e+02,5.661571882e+02,4.677553638e-03,1.799437293e-02,2.390355706e-01,2.430425538e+00,,
1,75,2.000000000e-01,2,3,3.685592000e+01,8.949837800e+01,6.895470800e+01,1.875759100e+01,-4.204901500e+01,-1.510941800e+01,3.419196504e+00,2.684634770e+02,7.615120203e+00,8.695924282e+01,3.001111970e-04,8.972797538e-04,1.095321238e+02,3.274818068e+02,6.892789602e-03,1.535139068e-02,1.850462263e+00,1.334945310e+00,,
1,75,4.000000000e-01,1,4,2.277208300e+01,6.916422400e+01,6.900219400e+01,4.124231500e+01,-5.036763200e+01,-6.113202000e+00,3.910965904e+00,1.861744731e+02,1.341214134e+01,2.045376642e+02,4.163805799e-04,1.930170552e-03,1.519671697e+02,7.044578208e+02,7.884152047e-03,2.703765878e-02,1.467827853e+00,5.530219572e+00,,
1,75,4.000000000e-01,2,4,4.276986300e+01,8.708949400e+01,6.129040900e+01,3.010649700e+01,-6.651567400e+01,9.394066000e+00,1.824384330e+00,6.263935426e+01,8.030822730e+00,9.170298550e+01,2.271323442e-04,8.665230049e-04,8.289690051e+01,3.162564608e+02,3.677793109e-03,1.618940922e-02,2.303745855e-01,1.484617159e+00,,
1,75,4.000000000e-01,1,5,2.739551500e+01,7.920792400e+01,7.062187500e+01,4.811136800e+01,-6.419530900e+01,-4.411800000e-02,3.534534408e+00,1.676469124e+02,1.059712054e+01,1.507493099e+02,3.854133449e-04,1.330500314e-03,1.406650022e+02,4.855950946e+02,7.125300341e-03,2.136283252e-02,1.194534602e+00,3.220432261e+00,,
1,75,4.000000000e-01,2,5,5.138501200e+01,9.640482900e+01,6.762268700e+01,2.953490900e+01,-5.862034400e+01,8.340665000e+00,1.872724341e+00,3.867331009e+01,7.512009830e+00,9.752026755e+01,2.036300625e-04,9.063042257e-04,7.431923043e+01,3.307754846e+02,3.775242180e-03,1.514352953e-02,1.460011115e-01,1.476801052e+00,,
1,75,4.000000000e-01,1,6,2.319906800e+01,6.817698100e+01,6.728758500e+01,4.779494500e+01,-7.199343100e+01,3.170360000e+00,2.849542346e+00,8.266989793e+01,9.858913708e+00,1.360682657e+02,3.493945258e-04,1.553236456e-03,1.275191490e+02,5.668875053e+02,5.744418558e-03,1.987467459e-02,4.748904958e-01,2.704312503e+00,,
1,75,4.000000000e-01,2,6,6.481724200e+01,1.157081170e+02,7.210809600e+01,1.875696600e+01,-3.073633300e+01,-1.020373100e+01,2.111730463e+00,9.734402705e+01,6.960534278e+00,1.022347834e+02,2.039564010e-04,9.530159937e-04,7.443833478e+01,3.478239626e+02,4.257056814e-03,1.403180491e-02,4.143990536e-01,1.434538535e+00,,
